bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
E9E4F0,RAL_160-1,RAL 160-1,"[7, 6, 0, 0]","[4, 4, 0, 0]",#E9E4F0,"[233, 228, 240]"
E9E5EE,RAL_160-2,RAL 160-2,"[7, 10, 4, 0]","[3, 4, 0, 0]",#E9E5EE,"[233, 229, 238]"
EFECEC,RAL_160-3,RAL 160-3,"[0, 3, 0, 0]","[0, 3, 0, 0]",#EFECEC,"[239, 236, 236]"
F0E4E6,RAL_160-4,RAL 160-4,"[0, 12, 3, 0]","[0, 6, 5, 0]",#F0E4E6,"[240, 228, 230]"
EEE8E4,RAL_160-5,RAL 160-5,"[0, 8, 6, 0]","[0, 5, 3, 0]",#EEE8E4,"[238, 232, 228]"
F0E6EE,RAL_160-6,RAL 160-6,"[0, 7, 0, 0]","[0, 5, 0, 0]",#F0E6EE,"[240, 230, 238]"
BAB0BD,RAL_160-M,RAL 160-M,"[28, 34, 15, 10]","[5, 10, 0, 13]",#BAB0BD,"[186, 176, 189]"
CACCD5,RAL_170-1,RAL 170-1,"[23, 17, 10, 0]","[5, 5, 0, 8]",#CACCD5,"[202, 204, 213]"
ACB0C4,RAL_170-2,RAL 170-2,"[32, 27, 11, 11]","[15, 15, 0, 10]",#ACB0C4,"[172, 176, 196]"
C0CADF,RAL_170-3,RAL 170-3,"[27, 15, 5, 0]","[10, 5, 0, 0]",#C0CADF,"[192, 202, 223]"
D4DCF2,RAL_170-4,RAL 170-4,"[18, 10, 0, 0]","[5, 3, 0, 0]",#D4DCF2,"[212, 220, 242]"
CBC8DC,RAL_170-5,RAL 170-5,"[17, 16, 0, 5]","[10, 10, 0, 0]",#CBC8DC,"[203, 200, 220]"
CBC7DB,RAL_170-6,RAL 170-6,"[20, 22, 5, 0]","[10, 13, 0, 0]",#CBC7DB,"[203, 199, 219]"
ACA9BA,RAL_170-M,RAL 170-M,"[27, 27, 10, 20]","[20, 20, 20, 10]",#ACA9BA,"[172, 169, 186]"
B3C0CB,RAL_180-1,RAL 180-1,"[34, 21, 15, 0]","[10, 4, 0, 10]",#B3C0CB,"[179, 192, 203]"
BFCEE2,RAL_180-2,RAL 180-2,"[28, 14, 5, 0]","[10, 3, 0, 0]",#BFCEE2,"[191, 206, 226]"
CDDDF0,RAL_180-3,RAL 180-3,"[22, 6, 0, 0]","[7, 3, 0, 0]",#CDDDF0,"[205, 221, 240]"
CCE3F1,RAL_180-4,RAL 180-4,"[23, 3, 5, 0]","[7, 0, 0, 0]",#CCE3F1,"[204, 227, 241]"
CAE0E6,RAL_180-5,RAL 180-5,"[26, 3, 10, 0]","[10, 0, 3, 0]",#CAE0E6,"[202, 224, 230]"
DDECF0,RAL_180-6,RAL 180-6,"[12, 0, 3, 0]","[3, 0, 0, 0]",#DDECF0,"[221, 236, 240]"
96A8AC,RAL_180-M,RAL 180-M,"[21, 5, 10, 43]","[20, 5, 5, 20]",#96A8AC,"[150, 168, 172]"
A9DDE6,RAL_190-1,RAL 190-1,"[37, 0, 13, 0]","[20, 0, 3, 0]",#A9DDE6,"[169, 221, 230]"
BDE7F7,RAL_190-2,RAL 190-2,"[27, 0, 3, 0]","[8, 0, 0, 0]",#BDE7F7,"[189, 231, 247]"
C3E2E8,RAL_190-3,RAL 190-3,"[27, 0, 8, 0]","[20, 0, 4, 0]",#C3E2E8,"[195, 226, 232]"
BDDEDE,RAL_190-4,RAL 190-4,"[33, 0, 14, 0]","[13, 0, 5, 0]",#BDDEDE,"[189, 222, 222]"
D6E8ED,RAL_190-5,RAL 190-5,"[17, 0, 4, 0]","[4, 0, 0, 0]",#D6E8ED,"[214, 232, 237]"
A4C6C5,RAL_190-6,RAL 190-6,"[38, 5, 20, 5]","[20, 0, 5, 8]",#A4C6C5,"[164, 198, 197]"
8FB5B4,RAL_190-M,RAL 190-M,"[54, 5, 35, 13]","[40, 10, 20, 0]",#8FB5B4,"[143, 181, 180]"
CECEB8,RAL_210-1,RAL 210-1,"[7, 10, 30, 14]","[10, 10, 20, 0]",#CECEB8,"[206, 206, 184]"
EAEDD8,RAL_210-2,RAL 210-2,"[3, 3, 19, 0]","[0, 0, 7, 0]",#EAEDD8,"[234, 237, 216]"
E3E9DE,RAL_210-3,RAL 210-3,"[0, 0, 8, 4]","[0, 0, 3, 7]",#E3E9DE,"[227, 233, 222]"
D7EAE8,RAL_210-4,RAL 210-4,"[15, 0, 8, 0]","[10, 0, 4, 0]",#D7EAE8,"[215, 234, 232]"
D9ECE6,RAL_210-5,RAL 210-5,"[16, 0, 9, 0]","[8, 0, 5, 0]",#D9ECE6,"[217, 236, 230]"
D6EEDA,RAL_210-6,RAL 210-6,"[13, 0, 21, 0]","[5, 0, 7, 0]",#D6EEDA,"[214, 238, 218]"
B2B9AA,RAL_210-M,RAL 210-M,"[7, 0, 16, 35]","[5, 0, 10, 30]",#B2B9AA,"[178, 185, 170]"
51C27A,RAL_220-1,RAL 220-1,"[58, 0, 71, 0]","[48, 0, 90, 0]",#51C27A,"[81, 194, 122]"
18A45D,RAL_220-2,RAL 220-2,"[86, 5, 90, 0]","[60, 0, 100, 0]",#18A45D,"[24, 164, 93]"
00774A,RAL_220-3,RAL 220-3,"[100, 24, 100, 20]","[100, 0, 100, 5]",#00774A,"[0, 119, 74]"
118D5F,RAL_220-4,RAL 220-4,"[96, 20, 100, 10]","[90, 0, 90, 5]",#118D5F,"[17, 141, 95]"
