bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
0C9FB8,RAL_210_60_40,RAL 210 60 40,"[76, 8, 21, 9]","[81, 9, 20, 0]",#0C9FB8,"[12, 159, 184]"
95B2B6,RAL_210_70_10,RAL 210 70 10,"[44, 17, 24, 7]","[41, 15, 19, 5]",#95B2B6,"[149, 178, 182]"
8CB4BC,RAL_210_70_15,RAL 210 70 15,"[47, 15, 22, 5]","[45, 13, 18, 4]",#8CB4BC,"[140, 180, 188]"
7FB6C0,RAL_210_70_20,RAL 210 70 20,"[52, 11, 21, 5]","[50, 10, 17, 2]",#7FB6C0,"[127, 182, 192]"
70B8C6,RAL_210_70_25,RAL 210 70 25,"[56, 8, 20, 3]","[55, 7, 16, 1]",#70B8C6,"[112, 184, 198]"
60BBCC,RAL_210_70_30,RAL 210 70 30,"[60, 5, 19, 1]","[60, 3, 16, 0]",#60BBCC,"[96, 187, 204]"
4ABBCE,RAL_210_70_35,RAL 210 70 35,"[64, 3, 19, 0]","[63, 1, 15, 0]",#4ABBCE,"[74, 187, 206]"
B4D0D3,RAL_210_80_10,RAL 210 80 10,"[33, 8, 17, 1]","[31, 7, 14, 0]",#B4D0D3,"[180, 208, 211]"
A7D3D6,RAL_210_80_15,RAL 210 80 15,"[38, 3, 17, 0]","[35, 3, 14, 0]",#A7D3D6,"[167, 211, 214]"
99D3DB,RAL_210_80_20,RAL 210 80 20,"[43, 0, 16, 0]","[40, 1, 12, 0]",#99D3DB,"[153, 211, 219]"
8DD3DF,RAL_210_80_25,RAL 210 80 25,"[45, 0, 15, 0]","[43, 1, 11, 0]",#8DD3DF,"[141, 211, 223]"
D9EAEB,RAL_210_90_05,RAL 210 90 05,"[17, 2, 8, 0]","[15, 3, 6, 0]",#D9EAEB,"[217, 234, 235]"
CCEBEB,RAL_210_90_10,RAL 210 90 10,"[22, 0, 11, 0]","[20, 1, 8, 0]",#CCEBEB,"[204, 235, 235]"
2E383C,RAL_220_20_05,RAL 220 20 05,"[74, 55, 51, 61]","[76, 48, 40, 65]",#2E383C,"[46, 56, 60]"
1D3A46,RAL_220_20_15,RAL 220 20 15,"[83, 51, 43, 60]","[89, 41, 31, 64]",#1D3A46,"[29, 58, 70]"
163A49,RAL_220_20_20,RAL 220 20 20,"[85, 49, 37, 59]","[93, 42, 27, 62]",#163A49,"[22, 58, 73]"
414B4F,RAL_220_30_05,RAL 220 30 05,"[67, 49, 47, 49]","[70, 46, 39, 50]",#414B4F,"[65, 75, 79]"
394F55,RAL_220_30_10,RAL 220 30 10,"[73, 46, 45, 47]","[77, 40, 35, 49]",#394F55,"[57, 79, 85]"
2A515C,RAL_220_30_15,RAL 220 30 15,"[76, 43, 39, 47]","[84, 38, 32, 46]",#2A515C,"[42, 81, 92]"
1E505F,RAL_220_30_20,RAL 220 30 20,"[80, 41, 36, 48]","[89, 36, 28, 47]",#1E505F,"[30, 80, 95]"
0E5163,RAL_220_30_25,RAL 220 30 25,"[83, 37, 31, 48]","[91, 32, 24, 46]",#0E5163,"[14, 81, 99]"
065069,RAL_220_30_30,RAL 220 30 30,"[87, 38, 24, 47]","[96, 34, 18, 45]",#065069,"[6, 80, 105]"
566467,RAL_220_40_05,RAL 220 40 05,"[61, 42, 42, 36]","[62, 41, 37, 34]",#566467,"[86, 100, 103]"
50676D,RAL_220_40_10,RAL 220 40 10,"[65, 40, 40, 35]","[67, 39, 35, 31]",#50676D,"[80, 103, 109]"
416673,RAL_220_40_15,RAL 220 40 15,"[70, 38, 34, 35]","[75, 38, 31, 28]",#416673,"[65, 102, 115]"
356777,RAL_220_40_20,RAL 220 40 20,"[73, 35, 31, 35]","[80, 35, 28, 28]",#356777,"[53, 103, 119]"
2A697B,RAL_220_40_25,RAL 220 40 25,"[75, 31, 28, 35]","[84, 28, 25, 29]",#2A697B,"[42, 105, 123]"
166883,RAL_220_40_30,RAL 220 40 30,"[80, 31, 22, 34]","[91, 30, 20, 25]",#166883,"[22, 104, 131]"
0A6988,RAL_220_40_35,RAL 220 40 35,"[84, 27, 18, 35]","[95, 24, 15, 28]",#0A6988,"[10, 105, 136]"
07698C,RAL_220_40_40,RAL 220 40 40,"[87, 26, 15, 33]","[97, 23, 11, 27]",#07698C,"[7, 105, 140]"
727D81,RAL_220_50_05,RAL 220 50 05,"[52, 36, 35, 24]","[51, 34, 31, 22]",#727D81,"[114, 125, 129]"
687F85,RAL_220_50_10,RAL 220 50 10,"[57, 33, 34, 23]","[57, 31, 29, 21]",#687F85,"[104, 127, 133]"
59808B,RAL_220_50_15,RAL 220 50 15,"[62, 30, 31, 24]","[64, 29, 27, 18]",#59808B,"[89, 128, 139]"
4B818F,RAL_220_50_20,RAL 220 50 20,"[66, 26, 28, 24]","[71, 28, 27, 14]",#4B818F,"[75, 129, 143]"
3D8092,RAL_220_50_25,RAL 220 50 25,"[69, 24, 25, 24]","[76, 29, 26, 12]",#3D8092,"[61, 128, 146]"
26829A,RAL_220_50_30,RAL 220 50 30,"[73, 22, 22, 24]","[81, 29, 24, 8]",#26829A,"[38, 130, 154]"
11819F,RAL_220_50_35,RAL 220 50 35,"[76, 20, 18, 23]","[85, 28, 21, 6]",#11819F,"[17, 129, 159]"
0082A5,RAL_220_50_40,RAL 220 50 40,"[81, 18, 15, 23]","[91, 24, 18, 6]",#0082A5,"[0, 130, 165]"
879598,RAL_220_60_05,RAL 220 60 05,"[46, 29, 31, 15]","[44, 26, 25, 13]",#879598,"[135, 149, 152]"
7E979F,RAL_220_60_10,RAL 220 60 10,"[50, 27, 27, 15]","[49, 24, 22, 13]",#7E979F,"[126, 151, 159]"
7599A5,RAL_220_60_15,RAL 220 60 15,"[53, 23, 25, 14]","[53, 22, 20, 11]",#7599A5,"[117, 153, 165]"
6599A9,RAL_220_60_20,RAL 220 60 20,"[59, 20, 22, 14]","[61, 20, 20, 9]",#6599A9,"[101, 153, 169]"
569AB0,RAL_220_60_25,RAL 220 60 25,"[63, 18, 19, 13]","[66, 19, 18, 5]",#569AB0,"[86, 154, 176]"
469DB7,RAL_220_60_30,RAL 220 60 30,"[66, 15, 18, 12]","[70, 16, 16, 4]",#469DB7,"[70, 157, 183]"
369CB9,RAL_220_60_35,RAL 220 60 35,"[69, 13, 15, 11]","[74, 16, 15, 2]",#369CB9,"[54, 156, 185]"
199CBF,RAL_220_60_40,RAL 220 60 40,"[73, 12, 12, 11]","[79, 15, 13, 0]",#199CBF,"[25, 156, 191]"
A0AFB4,RAL_220_70_05,RAL 220 70 05,"[38, 21, 22, 7]","[36, 18, 18, 6]",#A0AFB4,"[160, 175, 180]"
9AB3BC,RAL_220_70_10,RAL 220 70 10,"[41, 18, 20, 6]","[39, 16, 16, 5]",#9AB3BC,"[154, 179, 188]"
91B5C1,RAL_220_70_15,RAL 220 70 15,"[45, 15, 18, 5]","[43, 14, 15, 4]",#91B5C1,"[145, 181, 193]"
7EB5C6,RAL_220_70_20,RAL 220 70 20,"[52, 12, 17, 5]","[50, 11, 14, 3]",#7EB5C6,"[126, 181, 198]"
74B5CA,RAL_220_70_25,RAL 220 70 25,"[55, 10, 16, 4]","[54, 9, 13, 2]",#74B5CA,"[116, 181, 202]"
63B5CD,RAL_220_70_30,RAL 220 70 30,"[59, 8, 15, 3]","[59, 7, 12, 1]",#63B5CD,"[99, 181, 205]"
55B7D7,RAL_220_70_35,RAL 220 70 35,"[62, 6, 10, 1]","[62, 5, 8, 0]",#55B7D7,"[85, 183, 215]"
BCCCCD,RAL_220_80_05,RAL 220 80 05,"[29, 12, 18, 2]","[27, 11, 14, 2]",#BCCCCD,"[188, 204, 205]"
B2D0D6,RAL_220_80_10,RAL 220 80 10,"[34, 8, 15, 1]","[31, 7, 12, 0]",#B2D0D6,"[178, 208, 214]"
A8D2DE,RAL_220_80_15,RAL 220 80 15,"[38, 5, 12, 0]","[35, 4, 9, 0]",#A8D2DE,"[168, 210, 222]"
A0D3E3,RAL_220_80_20,RAL 220 80 20,"[40, 2, 11, 0]","[37, 3, 7, 0]",#A0D3E3,"[160, 211, 227]"
93D3E6,RAL_220_80_25,RAL 220 80 25,"[44, 0, 10, 0]","[42, 1, 7, 0]",#93D3E6,"[147, 211, 230]"
D7E8E9,RAL_220_90_05,RAL 220 90 05,"[18, 3, 9, 0]","[16, 3, 7, 0]",#D7E8E9,"[215, 232, 233]"
DCEBF1,RAL_220_92_05,RAL 220 92 05,"[15, 2, 5, 0]","[14, 3, 4, 0]",#DCEBF1,"[220, 235, 241]"
293A43,RAL_230_20_10,RAL 230 20 10,"[78, 54, 47, 59]","[82, 47, 35, 62]",#293A43,"[41, 58, 67]"
17374C,RAL_230_20_20,RAL 230 20 20,"[86, 54, 33, 58]","[93, 53, 26, 56]",#17374C,"[23, 55, 76]"
304F5C,RAL_230_30_15,RAL 230 30 15,"[76, 46, 38, 46]","[84, 41, 30, 47]",#304F5C,"[48, 79, 92]"
284F62,RAL_230_30_20,RAL 230 30 20,"[80, 45, 33, 45]","[87, 41, 25, 44]",#284F62,"[40, 79, 98]"
185069,RAL_230_30_25,RAL 230 30 25,"[84, 44, 26, 45]","[94, 41, 19, 43]",#185069,"[24, 80, 105]"
4F626D,RAL_230_40_10,RAL 230 40 10,"[65, 43, 37, 35]","[68, 43, 32, 31]",#4F626D,"[79, 98, 109]"
476573,RAL_230_40_15,RAL 230 40 15,"[69, 40, 34, 34]","[73, 41, 30, 28]",#476573,"[71, 101, 115]"
37667A,RAL_230_40_20,RAL 230 40 20,"[74, 38, 29, 33]","[81, 42, 27, 23]",#37667A,"[55, 102, 122]"
1E6480,RAL_230_40_25,RAL 230 40 25,"[78, 37, 24, 33]","[88, 41, 23, 21]",#1E6480,"[30, 100, 128]"
1D6686,RAL_230_40_30,RAL 230 40 30,"[80, 37, 20, 31]","[90, 41, 20, 18]",#1D6686,"[29, 102, 134]"
07658E,RAL_230_40_35,RAL 230 40 35,"[86, 36, 14, 29]","[96, 39, 13, 17]",#07658E,"[7, 101, 142]"
006591,RAL_230_40_40,RAL 230 40 40,"[88, 36, 10, 28]","[97, 40, 11, 16]",#006591,"[0, 101, 145]"
657C86,RAL_230_50_10,RAL 230 50 10,"[58, 35, 32, 24]","[59, 33, 27, 21]",#657C86,"[101, 124, 134]"
5B7E8D,RAL_230_50_15,RAL 230 50 15,"[62, 33, 28, 23]","[64, 32, 24, 17]",#5B7E8D,"[91, 126, 141]"
517F94,RAL_230_50_20,RAL 230 50 20,"[65, 31, 24, 22]","[69, 33, 22, 13]",#517F94,"[81, 127, 148]"
437E99,RAL_230_50_25,RAL 230 50 25,"[69, 30, 21, 21]","[76, 34, 21, 9]",#437E99,"[67, 126, 153]"
347D9D,RAL_230_50_30,RAL 230 50 30,"[73, 29, 17, 21]","[81, 35, 19, 5]",#347D9D,"[52, 125, 157]"
1E7FA6,RAL_230_50_35,RAL 230 50 35,"[78, 28, 13, 19]","[87, 35, 16, 2]",#1E7FA6,"[30, 127, 166]"
107DAC,RAL_230_50_40,RAL 230 50 40,"[82, 31, 9, 15]","[91, 33, 9, 3]",#107DAC,"[16, 125, 172]"
8097A2,RAL_230_60_10,RAL 230 60 10,"[50, 27, 25, 14]","[48, 25, 20, 11]",#8097A2,"[128, 151, 162]"
7497A7,RAL_230_60_15,RAL 230 60 15,"[55, 25, 23, 13]","[54, 24, 19, 10]",#7497A7,"[116, 151, 167]"
6997AF,RAL_230_60_20,RAL 230 60 20,"[59, 24, 19, 12]","[60, 24, 16, 7]",#6997AF,"[105, 151, 175]"
5B96B3,RAL_230_60_25,RAL 230 60 25,"[62, 23, 16, 12]","[65, 24, 14, 4]",#5B96B3,"[91, 150, 179]"
5098BA,RAL_230_60_30,RAL 230 60 30,"[65, 22, 13, 11]","[69, 23, 12, 2]",#5098BA,"[80, 152, 186]"
3C99C1,RAL_230_60_35,RAL 230 60 35,"[69, 20, 10, 8]","[73, 22, 9, 0]",#3C99C1,"[60, 153, 193]"
2D97C8,RAL_230_60_40,RAL 230 60 40,"[74, 22, 6, 5]","[78, 21, 5, 0]",#2D97C8,"[45, 151, 200]"
9CB3BE,RAL_230_70_10,RAL 230 70 10,"[41, 19, 19, 6]","[39, 17, 15, 5]",#9CB3BE,"[156, 179, 190]"
8EB1C1,RAL_230_70_15,RAL 230 70 15,"[46, 17, 17, 6]","[44, 16, 13, 4]",#8EB1C1,"[142, 177, 193]"
80B2C9,RAL_230_70_20,RAL 230 70 20,"[51, 15, 13, 5]","[50, 15, 11, 2]",#80B2C9,"[128, 178, 201]"
79B4D1,RAL_230_70_25,RAL 230 70 25,"[53, 14, 10, 4]","[53, 13, 7, 1]",#79B4D1,"[121, 180, 209]"
6CB4D6,RAL_230_70_30,RAL 230 70 30,"[57, 11, 8, 3]","[57, 11, 6, 0]",#6CB4D6,"[108, 180, 214]"
