bgcolor,name,value1,value2,value3,value4,hex,r,g,b
8F4B00,NCS S 4050-Y20R,0,55,95,45,#8F4B00,143,75,0
776D5C,NCS S 5005-Y20R,0,12,30,60,#776D5C,119,109,92
7D5C38,NCS S 5020-Y20R,0,35,60,55,#7D5C38,125,92,56
8B602E,NCS S 5030-Y20R,0,40,72,48,#8B602E,139,96,46
7B4710,NCS S 5040-Y20R,0,50,85,55,#7B4710,123,71,16
5F5648,NCS S 6005-Y20R,0,13,30,70,#5F5648,95,86,72
714824,NCS S 6020-Y20R,0,46,70,60,#714824,113,72,36
592F0F,NCS S 6030-Y20R,0,55,80,70,#592F0F,89,47,15
3C352B,NCS S 7005-Y20R,0,15,30,85,#3C352B,60,53,43
4E3013,NCS S 7020-Y20R,0,47,74,75,#4E3013,78,48,19
30281D,NCS S 8005-Y20R,0,20,40,90,#30281D,48,40,29
2F2317,NCS S 8505-Y20R,0,30,50,90,#2F2317,47,35,23
FFF5DC,NCS S 0505-Y30R,0,4,19,0,#FFF5DC,255,245,220
FFEFC6,NCS S 0510-Y30R,0,7,30,0,#FFEFC6,255,239,198
FFE1AA,NCS S 0515-Y30R,0,14,40,0,#FFE1AA,255,225,170
FFD89E,NCS S 0520-Y30R,0,19,44,0,#FFD89E,255,216,158
FFCE90,NCS S 0530-Y30R,0,24,49,0,#FFCE90,255,206,144
FEB25F,NCS S 0540-Y30R,0,38,68,0,#FEB25F,254,178,95
F7993B,NCS S 0550-Y30R,0,48,80,0,#F7993B,247,153,59
F4941E,NCS S 0560-Y30R,0,49,91,0,#F4941E,244,148,30
F38F1B,NCS S 0570-Y30R,0,51,91,0,#F38F1B,243,143,27
F08400,NCS S 0580-Y30R,0,55,100,0,#F08400,240,132,0
F07E00,NCS S 0585-Y30R,0,58,98,0,#F07E00,240,126,0
FFF6E2,NCS S 0804-Y30R,0,4,15,0,#FFF6E2,255,246,226
F9ECD2,NCS S 0907-Y30R,0,6,20,3,#F9ECD2,249,236,210
F5EBD6,NCS S 1005-Y30R,0,4,16,5,#F5EBD6,245,235,214
FBE4B6,NCS S 1010-Y30R,0,10,35,2,#FBE4B6,251,228,182
FFE0AE,NCS S 1015-Y30R,0,15,38,0,#FFE0AE,255,224,174
FFD69F,NCS S 1020-Y30R,0,20,43,0,#FFD69F,255,214,159
FFCB8A,NCS S 1030-Y30R,0,26,51,0,#FFCB8A,255,203,138
FEBA6F,NCS S 1040-Y30R,0,34,61,0,#FEBA6F,254,186,111
